Suggested,Sugjeruar
"E.g.: ""post"" will make the blog post accessible from mystore.com/{blog_route}/post/post-identifier","P.sh.: ""post"" do ta bëjë postimin e blogut të aksesueshëm nga mystore.com/{blog_route}/post/post-identifier"
Post URL Suffix,Prapashtesa e URL-së së postimit
"E.g.: "".html"" will make the blog post accessible from mystore.com/{blog_route}/post/post-identifier.html","P.sh.: "".html"" do ta bëjë postimin e blogut të aksesueshëm nga mystore.com/{blog_route}/post/post-identifier.html"
Use Categories Path for Post URLs,Përdorni shtegun e kategorive për URL-të e postimit
Category Route,Kategoria Rrugë
"E.g.: ""category"" will make the blog category accessible from mystore.com/{blog_route}/category/category-identifier","P.sh.: ""category"" do ta bëjë kategorinë e blogut të aksesueshme nga mystore.com/{blog_route}/category/category-identifier"
Category URL Suffix,Prapashtesa e URL-së së kategorisë
"E.g.: "".html"" will make the blog category accessible from mystore.com/{blog_route}/category/category-identifier.html","P.sh.: "".html"" do ta bëjë kategorinë e blogut të aksesueshme nga mystore.com/{blog_route}/category/category-identifier.html"
Use Parent Category Path for Category URLs,Përdorni shtegun e kategorisë prind për URL-të e kategorive
Archive Route,Rruga e arkivit
"E.g.: ""archive"" will make the blog archive accessible from mystore.com/{blog_route}/archive/2016-02","P.sh.: ""arkivi"" do ta bëjë arkivin e blogut të aksesueshëm nga mystore.com/{blog_route}/archive/2016-02"
Tag Route,Etiketa Rruga
"E.g.: ""tag"" will make the blog posts by tag accessible from mystore.com/{blog_route}/tag/tag-name","P.sh.: ""tag"" do t'i bëjë postimet e blogut sipas etiketës të aksesueshme nga mystore.com/{blog_route}/tag/tag-name"
Tag URL Suffix,Prapashtesa e URL-së së etiketës
"E.g.: "".html"" will make the blog tag accessible from mystore.com/{blog_route}/tag/tag-name.html","P.sh.: "".html"" do ta bëjë etiketën e blogut të aksesueshme nga mystore.com/{blog_route}/tag/tag-name.html"
Author Route,Rruga e autorit
"E.g.: ""author"" will make the blog author posts accessible from mystore.com/{blog_route}/author/author-name","P.sh.: ""autori"" do t'i bëjë postimet e autorit të blogut të aksesueshme nga mystore.com/{blog_route}/author/author-name"
Author URL Suffix,Prapashtesa e URL-së së autorit
"E.g.: "".html"" will make the blog author accessible from mystore.com/{blog_route}/author/author-name.html","P.sh.: "".html"" do ta bëjë autorin e blogut të aksesueshëm nga mystore.com/{blog_route}/author/author-name.html"
Search Route,Rruga e kërkimit
"E.g.: ""search"" will make the blog search accessible from mystore.com/{blog_route}/search/query","P.sh.: ""search"" do ta bëjë kërkimin e blogut të aksesueshëm nga mystore.com/{blog_route}/search/query"
Search Engine Optimization,Optimizimi i motorit të kërkimit
Use Canonical Link Meta Tag For,Përdorni meta etiketën Canonical Link For
AddThis Enabled,AddThis Enabled
AddThis ID,Shto këtë ID
AddThis Language,Shto këtë gjuhë
Category Top Navigation,Kategoria Top Navigation
Display Blog Link,Shfaq lidhjen e blogut
Link Text,Teksti i lidhjes
Include Blog Categories,Përfshini kategoritë e blogut
Magefan Blog Extension - Recent Blog Posts,Zgjerimi i blogut Magefan - Postimet e fundit të Blogut
Please specify title you want to display on the frontend. You can leave it blank if necessary.,Ju lutemi specifikoni titullin që dëshironi të shfaqni në frontend. Mund ta lini bosh nëse është e nevojshme.
"Please indicate number of recent posts you want to display. Leave blank to use predefined ""Posts Per Page"" value.","Ju lutemi tregoni numrin e postimeve të fundit që dëshironi të shfaqni. Lëreni bosh për të përdorur vlerën e paracaktuar ""Postime për faqe""."
Posts Category,Kategoria e postimeve
Leave blank to display posts from all categories.,Lëreni bosh për të shfaqur postimet nga të gjitha kategoritë.
Posts Tag,Etiketa e postimeve
Leave blank to display posts from all tags.,Lëreni bosh për të shfaqur postimet nga të gjitha etiketat.
Posts Author,Autori i postimeve
Leave blank to display posts from all authors.,Lëreni bosh për të shfaqur postimet nga të gjithë autorët.
Posts Publish Date From,Postimet Data e Publikimit Nga
Leave blank or use date format YYYY-MM-DD.,Lëreni bosh ose përdorni formatin e datës VVVV-MM-DD.
Posts Publish Date To,Postimet Data e Publikimit Për
Custom Template,Modeli i personalizuar
,
Leave blank to use default template <em>Magefan_Blog::widget/recent.phtml</em>.<br/>,
<em>Magefan_Blog::widget/recent_masonry.phtml</em> template is also available out of the box.,
,
Lëreni bosh për të përdorur shabllonin e paracaktuar <em>Magefan_Blog::widget/recent.phtml</em>.<br/>,
Modeli <em>Magefan_Blog::widget/recent_masonry.phtml</em> është gjithashtu i disponueshëm jashtë kutisë.,
Magefan Blog Extension - Featured Blog Posts,Zgjerimi i Blogut Magefan - Postimet e Blogut të veçuar
,
Leave blank to use default template <em>Magefan_Blog::widget/recent.phtml</em>.,
,
Lëreni bosh për të përdorur shabllonin e paracaktuar <em>Magefan_Blog::widget/recent.phtml</em>.,
Magefan Blog Extension - Blog Post Link,Zgjerimi i blogut Magefan - Lidhja e postimit të blogut
Link to a Specified Blog Post Page,Lidhja me një faqe të specifikuar të postimit në blog
Anchor Custom Text,Ankoroni tekstin e personalizuar
"If empty, we'll use the object name here.","Nëse është bosh, ne do të përdorim emrin e objektit këtu."
Anchor Custom Title,Titulli i personalizuar i ankorimit
Post ID,ID e postës
Magefan Blog Extension - Blog Category Link,Zgjerimi i blogut Magefan - Lidhja e kategorisë së blogut
Link to a Specified Blog Category Page,Lidhja me një faqe të kategorisë së blogut të specifikuar
Category ID,ID e kategorisë
Magefan Blog Extension - Blog Tag Link,Zgjerimi i Blogut Magefan - Lidhja e etiketës së Blogut
Link to a Specified Blog Tag Page,Lidhja me një faqe të specifikuar të etiketës së blogut
Tag ID,ID-ja e etiketës
Magefan Blog Extension - Blog Author Link,Zgjerimi i blogut Magefan - Lidhja e autorit të blogut
Link to a Specified Blog Author Page,Lidhja me një faqe të caktuar të autorit të blogut
Author ID,ID e autorit
,
Enter user ID.,
,
Fut ID-në e përdoruesit.,
Approve,Mirato
Mark as Pending,Shëno si në pritje
Deny,Moho
Author Type,Lloji i autorit
Custumer,Klienti
Category Information,Informacioni i kategorisë
Enable Category,Aktivizo kategorinë
Category Title,Titulli i kategorisë
Include In Menu,Përfshi në meny
Display Settings,Cilësimet e ekranit
Category in Websites,Kategoria në faqet e internetit
Custom Design Update,Përditësim i personalizuar i dizajnit
New Layout,Paraqitje e re
New Layout Update XML,Përditësimi i ri i paraqitjes XML
Comment Information,Informacioni i komentit
Parent Comment,Komenti i prindit
Publish Date,Data e publikimit
Tag Title,Titulli i etiketës
Post Information,Posto Informacion
Enable Post,Aktivizo Postimin
Short Content,Përmbajtje e shkurtër
,
"<strong>Notice:</strong> <em>Please use this section only if you need to enter short content completely different from main content.<br/>Please <a href=""https://magefan.com/blog/add-read-more-tag-to-blog-post-content/"" target=""_blank"" title=""Add &quot;read more&quot; tag to Magento 2 blog post content"">read more</a> about how to configure ""read more"" tag.</em>",
"<strong>Shënim:</strong> <em>Ju lutemi përdorni këtë seksion vetëm nëse duhet të futni përmbajtje të shkurtër krejtësisht të ndryshme nga përmbajtja kryesore.<br/> Ju lutemi <a href=""https://magefan.com/blog/add-read-more-tag-to-blog-post-content/"" target=""_blank"" title=""Shtoni etiketën &quot;lexo më shumë&quot; në përmbajtjen e postimit të blogut të Magento 2"">lexoni më shumë</a> se si të konfiguroni etiketën &quot;lexo më shumë&quot;.</em>",
Featured Image,Imazhi i veçuar
Featured Image Alt,Alt i imazhit të veçuar
You can set a future date to schedule the publication. The post will not be available for reading until this date.,Mund të caktoni një datë të ardhshme për të planifikuar publikimin. Postimi nuk do të jetë i disponueshëm për t'u lexuar deri në këtë datë.
Include in Recent Posts,Përfshini në postimet e fundit
Open Graph Metadata,Hapni të dhënat e grafikut
OG Title,Titulli OG
Leave blank to use Meta Title by default.,Lëreni bosh për të përdorur titullin Meta si parazgjedhje.
OG Description,Përshkrimi i OG
Leave blank to use Meta Description by default.,Lëreni bosh për të përdorur Meta Description si parazgjedhje.
OG Image,Imazhi OG
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Lëreni bosh për të përdorur imazhin e veçuar si parazgjedhje. Lejo llojin e imazhit: jpg, jpeg, gif, png."
OG Type,Lloji OG
"Leave blank to use ""article"" type by default.","Lëreni bosh për të përdorur tipin ""artikull"" si parazgjedhje."
Post in Websites,Postoni në faqet e internetit
Related Posts and Products,Postime dhe produkte të ngjashme
Related posts are shown to customers in addition to the item the customer is looking at.,Postimet e lidhura u shfaqen klientëve përveç artikullit që klienti po shikon.
Add Related Post,Shto postim të lidhur
Add Related Posts,Shto postime të ngjashme
Add Selected Posts,Shto postime të zgjedhura
Add Related Product,Shto një produkt të ngjashëm
AttributeSetText,AttributeSetText
StatusText,StatusText
Enable Tag,Aktivizo Etiketën
Meta Robots,Meta Robots
Magefan Extensions,Zgjerime Magefan
NWDthemes,NWDtemat
Enable Slider Revolution,Aktivizo Slider Revolution
NWDthemes Slider Revolution,NWDthemes Slider Revolution
Select Slider,Zgjidhni Slider
AjaxSuite,AjaxSuite
General Options,Opsionet e Përgjithshme
Enable AjaxSuite,Aktivizo AjaxSuite
Ajax Cart,Karroca Ajax
Action after Add to cart Success,Veprimi pas Shto në shportë Sukses
Ajax Wishlist,Lista e dëshirave të Ajax
Login Popup Logo,Logoja e dritares së hyrjes
Background Image Popup,Shfaqja e imazhit të sfondit
Ajax Compare,Ajax Krahaso
Rokanthemes,Rokantema
Brand Setting,Vendosja e markës
Brand List Url,Url i listës së markave
Brand Url Prefix,Prefiksi Url i markës
Brand Url Suffix,Prapashtesa Url e markës
Brand Info On Product View Page,Informacioni i markës në faqen e shikimit të produktit
Enabled Brand Block,Blloku i markës u aktivizua
Show Brand Text,Shfaq tekstin e markës
Brand Text,Teksti i markës
Show Brand Logo,Shfaq logon e markës
Show Brand Name,Shfaq emrin e markës
Brand List Page,Faqja e listës së markave
Number Brand Per Page,Numri i markës për faqe
Empty to show all item,Bosh për të shfaqur të gjithë artikullin
SEO - Search Engine Optimization,SEO - Optimizimi i motorit të kërkimit
Grid Layout,Paraqitja e rrjetit
Number Column on Large Desktop,Kolona e numrit në një desktop të madh
Large devices Desktops (=1200px),Desktop të pajisjeve të mëdha (=1200 px)
Number Column on Desktop,Kolona e numrit në desktop
Medium devices Desktops (=992px),Desktopët e pajisjeve të mesme (=992 px)
Number Column on Tablets,Kolona e numrave në tableta
Small devices Tablets (=768px),Tableta për pajisje të vogla (=768 px)
Number Column on Small Tablet,Kolona e numrave në një tabletë të vogël
Extra small devices Small Tablet (<768px),Pajisje shumë të vogla Tableti i vogël (<768 px)
Number Column on Phones,Kolona e numrave në telefon
Extra small devices Phones (<575px),Pajisje shumë të vogla Telefonat (<575 px)
Group Page,Faqja e grupit
Rokanthemes Brand Slide,Rokanthemes Brand Slide
Get brand list slide,Merrni rrëshqitjen e listës së markave
Number of Brand to Display,Numri i markës për të shfaqur
Items Default,Artikujt e parazgjedhur
Items On Desktop,Artikujt në Desktop
Items On Desktop Small,Artikujt në desktop të vegjël
Items On Tablet,Artikujt në tabletë
Items On Tablet Small,Artikujt në tabletë të vegjël
Items On Mobile,Artikujt në celular
Owl Rtl,Buf Rtl
Show Dots Control,Shfaq kontrollin e pikave
Show Navigation Control,Shfaq Kontrollin e Navigimit
Rokanthemes Brand Tab,Skeda e markës Rokanthemes
Get brand list tab,Merrni skedën e listës së markave
Type Image,Shkruani Image
Width Image,Imazhi me gjerësi
Height Image,Imazhi i lartësisë
Enabled Product Hover Image,Imazhi i pozicionit të produktit u aktivizua
Products of Brand to Display,Produktet e markës për t'u shfaqur
